Date,Open,High,Low,Close,Adj Close,Volume
8/26/2021,148.350006,149.119995,147.509995,147.539993,147.137527,48597200
8/27/2021,147.479996,148.75,146.830002,148.600006,148.194641,55721500
8/30/2021,149,153.490005,148.610001,153.119995,152.702286,90956700
8/31/2021,152.660004,152.800003,151.289993,151.830002,151.415817,86453100
9/1/2021,152.830002,154.979996,152.339996,152.509995,152.093964,80313700
9/2/2021,153.869995,154.720001,152.399994,153.649994,153.23085,71115500
9/3/2021,153.759995,154.630005,153.089996,154.300003,153.879089,57808700
9/7/2021,154.970001,157.259995,154.389999,156.690002,156.262573,82278300
9/8/2021,156.979996,157.039993,153.979996,155.110001,154.686874,74420200
9/9/2021,155.490005,156.110001,153.949997,154.070007,153.649719,57305700
9/10/2021,155,155.479996,148.699997,148.970001,148.563614,140646400
9/13/2021,150.630005,151.419998,148.75,149.550003,149.142044,102404300
9/14/2021,150.350006,151.070007,146.910004,148.119995,147.715927,109296300
9/15/2021,148.559998,149.440002,146.369995,149.029999,148.623459,83281300
9/16/2021,148.440002,148.970001,147.220001,148.789993,148.384094,68034100
9/17/2021,148.820007,148.820007,145.759995,146.059998,145.66156,129868800
9/20/2021,143.800003,144.839996,141.270004,142.940002,142.550064,123478900
9/21/2021,143.929993,144.600006,142.779999,143.429993,143.038727,75834000
9/22/2021,144.449997,146.429993,143.699997,145.850006,145.452133,76404300
9/23/2021,146.649994,147.080002,145.639999,146.830002,146.429459,64838200
9/24/2021,145.660004,147.470001,145.559998,146.919998,146.519211,53477900
9/27/2021,145.470001,145.960007,143.820007,145.369995,144.97345,74150700
9/28/2021,143.25,144.75,141.690002,141.910004,141.522888,108972300
9/29/2021,142.470001,144.449997,142.029999,142.830002,142.440369,74602000
9/30/2021,143.660004,144.380005,141.279999,141.5,141.113998,88934200
10/1/2021,141.899994,142.919998,139.110001,142.649994,142.260849,94639600
10/4/2021,141.759995,142.210007,138.270004,139.139999,138.760437,98322000
10/5/2021,139.490005,142.240005,139.360001,141.110001,140.725067,80861100
10/6/2021,139.470001,142.149994,138.369995,142,141.61264,83221100
10/7/2021,143.059998,144.220001,142.720001,143.289993,142.899109,61732700
10/8/2021,144.029999,144.179993,142.559998,142.899994,142.510162,58718700
10/11/2021,142.270004,144.809998,141.809998,142.809998,142.420425,64452200
10/12/2021,143.229996,143.25,141.039993,141.509995,141.123962,73035900
10/13/2021,141.240005,141.399994,139.199997,140.910004,140.525604,78762700
10/14/2021,142.110001,143.880005,141.509995,143.759995,143.367828,69907100
10/15/2021,143.770004,144.899994,143.509995,144.839996,144.444885,67885200
10/18/2021,143.449997,146.839996,143.160004,146.550003,146.150223,85589200
10/19/2021,147.009995,149.169998,146.550003,148.759995,148.354187,76378900
10/20/2021,148.699997,149.75,148.119995,149.259995,148.852829,58418800
10/21/2021,148.809998,149.639999,147.869995,149.479996,149.072235,61421000
10/22/2021,149.690002,150.179993,148.639999,148.690002,148.284393,58883400
10/25/2021,148.679993,149.369995,147.619995,148.639999,148.234528,50720600
10/26/2021,149.330002,150.839996,149.009995,149.320007,148.912674,60893400
10/27/2021,149.360001,149.729996,148.490005,148.850006,148.443954,56094900
10/28/2021,149.820007,153.169998,149.720001,152.570007,152.153809,100077900
10/29/2021,147.220001,149.940002,146.410004,149.800003,149.391357,124850400
11/1/2021,148.990005,149.699997,147.800003,148.960007,148.55365,74588300
11/2/2021,148.660004,151.570007,148.649994,150.020004,149.610764,69122000
11/3/2021,150.389999,151.970001,149.820007,151.490005,151.076752,54511500
11/4/2021,151.580002,152.429993,150.639999,150.960007,150.548187,60394600
11/5/2021,151.889999,152.199997,150.059998,151.279999,151.087509,65414600
11/8/2021,151.410004,151.570007,150.160004,150.440002,150.248581,55020900
11/9/2021,150.199997,151.429993,150.059998,150.809998,150.618103,56787900
11/10/2021,150.020004,150.130005,147.850006,147.919998,147.731781,65187100
11/11/2021,148.960007,149.429993,147.679993,147.869995,147.681839,41000000
11/12/2021,148.429993,150.399994,147.479996,149.990005,149.799149,63632600
11/15/2021,150.369995,151.880005,149.429993,150,149.809128,59222800
11/16/2021,149.940002,151.490005,149.339996,151,150.807861,59256200
11/17/2021,151,155,150.990005,153.490005,153.294693,88807000
11/18/2021,153.710007,158.669998,153.050003,157.869995,157.669113,137827700
11/19/2021,157.649994,161.020004,156.529999,160.550003,160.345718,117305600
